10
t = 0.0 fs
t = 9.0 fs
C      -1.165090922006134      0.721311558715262     -0.054366299363534
C      -1.043828188280109     -0.658970977228780      0.045088169139148
N      -0.053641004084443     -1.374186822208128      0.069278520705599
C       1.199333064616126     -0.756377373674191     -0.096122536534204
C       1.155546850943946      0.705490528907266     -0.017860038517304
N      -0.071250636242986      1.390280539968475      0.056900544338433
H      -2.163031726609763      0.996137386193508     -0.448195128112400
H      -2.157027662853726     -1.088219756586661     -0.026539895623549
H       2.071628016656645     -1.164093334503159     -0.031942919905953
H       1.991321367088587      1.183554078999273      0.296537313001449
10
t = 10.0 fs
C      -1.185763922031018      0.727575785385230     -0.061521066457579
C      -1.053238600927601     -0.663039673510379      0.043268237635314
N      -0.048092073494724     -1.381743615502620      0.081238269534055
C       1.201904232139400     -0.752730740654777     -0.105750127739309
C       1.139717101869827      0.701665853995132     -0.023347854258428
N      -0.054103654627893      1.394153373121281      0.057791573813245
H      -2.134804500237157      0.986720306320823     -0.448083410155936
H      -2.067339735754460     -1.079422010732757     -0.009740868936763
H       2.120426435792727     -1.176308069230465     -0.049520121071810
H       2.023057967156957      1.174955231430464      0.356691460537242
10
t = 11.0 fs
C      -1.206527335131826      0.731129736071136     -0.066768824515099
C      -1.070229735146349     -0.664231685168921      0.042562512926430
N      -0.037764484227996     -1.390461627424530      0.091918147081435
C       1.200399003449835     -0.743357244361306     -0.113727694224657
C       1.121747526653419      0.696983563166068     -0.026428816530526
N      -0.036372480389219      1.400185648376302      0.058826921239452
H      -2.123287280097534      0.996919371942519     -0.437169375785673
H      -1.976321821034790     -1.080594639417149      0.019119250543590
H       2.192954382096970     -1.212421573490038     -0.071741353437249
H       2.059881998993617      1.174140595723786      0.415838174546289
10
t = 12.0 fs
C      -1.222132198434662      0.731725094441184     -0.072649786989109
C      -1.087858365076396     -0.660596941602840      0.042207153997620
N      -0.023196639524270     -1.401566185628040      0.100529661762852
C       1.197939026744982     -0.732790421445129     -0.119804314654269
C       1.108666645831535      0.691470377908668     -0.027170481991070
N      -0.018520335669340      1.407499373607400      0.056942903284859
H      -2.143458882048876      1.031945308056779     -0.426265556333508
H      -1.923085255793210     -1.123812282247301      0.056914209361519
H       2.263732174136199     -1.263808737036555     -0.094945941101557
H       2.083759404679827      1.177034516719365      0.461624951065545
10
t = 13.0 fs
C      -1.233951105945335      0.729160516615838     -0.081754350695875
C      -1.101992747556338     -0.655534356035427      0.042224945208034
N      -0.006419642311237     -1.415513494413633      0.108435065695677
C       1.195744614698625     -0.723572481071343     -0.126493662854268
C       1.099134633139049      0.686192517013851     -0.027600434606225
N      -0.001789022352690      1.415293069428340      0.054242540177455
H      -2.183380804746390      1.080695413367971     -0.423717769121347
H      -1.938721680604312     -1.205609871402213      0.088606470601827
H       2.314042418686781     -1.312651198095077     -0.120185232468177
H       2.091549847283125      1.173127575964173      0.494027049366846
10
t = 14.0 fs
C      -1.241470951042191      0.724985605627258     -0.092900216251106
C      -1.116077833219875     -0.649315420432726      0.043834009183542
N       0.010451990112856     -1.427459816003626      0.115263739060991
C       1.194603266636872     -0.717270068887770     -0.133794249778958
C       1.092231052672982      0.681529685927418     -0.024930596616874
N       0.013447663658504      1.421130080324331      0.052550142229583
H      -2.228378421883672      1.141215550090783     -0.420914835741467
H      -1.985241531644601     -1.305132798486273      0.127189533366803
H       2.324296967440585     -1.343852305231034     -0.144092564003576
H       2.079756495101114      1.163729050935937      0.504667882253553
10
t = 15.0 fs
C      -1.246475868283282      0.721255118239615     -0.104457303367542
C      -1.130748020527980     -0.642267694296563      0.048021954243875
N       0.028380585273515     -1.436866243548376      0.120657739015407
C       1.196745099040271     -0.713833610918523     -0.142709205592815
C       1.088493516312967      0.675313385532165     -0.021707555770420
N       0.024231137078051      1.425155865529885      0.051002708191133
H      -2.265638651754425      1.201697609628712     -0.406318437824921
H      -2.036717359979750     -1.403341985893909      0.167465950916659
H       2.306035879620826     -1.354627867155843     -0.164199338502352
H       2.047417709975406      1.152140568732680      0.492868848862441
10
t = 16.0 fs
C      -1.250697954500509      0.720059439823658     -0.114036917208086
C      -1.146264923934169     -0.635140419224308      0.055013751682332
N       0.045421485353087     -1.440129493163097      0.125926478848443
C       1.198966627794353     -0.711900240222790     -0.147446113422151
C       1.088760613449242      0.672385214475064     -0.014997132360695
N       0.031808604867924      1.429972619372973      0.049014097474164
H      -2.275384378170763      1.253684101761873     -0.377818109545994
H      -2.065743144449640     -1.476908762948840      0.211860427983141
